ocid,id,parties/0/id,parties/0/memberOf/0/id,parties/0/memberOf/0/name
ocds-lcuori-215468,ocds-lcuori-215468/2-contract,NzBWWy-byP1K8,NzBWWy,Secretaria de Defensa
ocds-lcuori-215468,ocds-lcuori-215468/2-contract,NzBWWy-byP1K8-az8Qyd,NzBWWy-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215478,ocds-lcuori-215478/2-contract,lzWWvz-byP1K8,lzWWvz,Instituto Nacional de Estadisticas
ocds-lcuori-215478,ocds-lcuori-215478/2-contract,lzWWvz-byP1K8-RyYNKL,lzWWvz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215489,ocds-lcuori-215489/2-contract,lzWWvz-byP1K8,lzWWvz,Instituto Nacional de Estadisticas
ocds-lcuori-215489,ocds-lcuori-215489/2-contract,lzWWvz-byP1K8-RyYNKL,lzWWvz-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215500,ocds-lcuori-215500/2-contract,BzXX7z-byP1K8,BzXX7z,Secretaria de Finanzas
ocds-lcuori-215500,ocds-lcuori-215500/2-contract,BzXX7z-byP1K8-ArxkKR,BzXX7z-byP1K8,GERENCIA CENTRAL
ocds-lcuori-222070,ocds-lcuori-222070/2-contract,wrLByx-byP1K8,wrLByx,Comisionado Nacional de Derechos Humanos
ocds-lcuori-222070,ocds-lcuori-222070/2-contract,wrLByx-byP1K8-byP1K8,wrLByx-byP1K8,GERENCIA ADMINISTRATIVA CENTRAL
ocds-lcuori-215511,ocds-lcuori-215511/2-contract,BzXX7z-byP1K8,BzXX7z,Secretaria de Finanzas
ocds-lcuori-215511,ocds-lcuori-215511/2-contract,BzXX7z-byP1K8-ArxkKR,BzXX7z-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215522,ocds-lcuori-215522/2-contract,zloEAr-byP1K8,zloEAr,Servicio de Administracion de Rentas
ocds-lcuori-215522,ocds-lcuori-215522/2-contract,zloEAr-byP1K8-byP1K8,zloEAr-byP1K8,GERENCIA CENTRAL
ocds-lcuori-222078,ocds-lcuori-222078/3-contract,NzBo0y-byP1K8,NzBo0y,Banco Central de Honduras
ocds-lcuori-222078,ocds-lcuori-222078/3-contract,NzBo0y-byP1K8-by4Gzd,NzBo0y-byP1K8,GERENCIA CENTRAL
ocds-lcuori-215533,ocds-lcuori-215533/2-contract,rNxg0y-byP1K8,rNxg0y,"Secretaria de Gobernacion, Justicia y Descentralizacion"
ocds-lcuori-215533,ocds-lcuori-215533/2-contract,rNxg0y-byP1K8-byP1K8,rNxg0y-byP1K8,Gerencia Central
