ocid,id,planning/budget/id,planning/budget/budgetBreakdown/0/id,planning/budget/budgetBreakdown/0/sourceParty/id,planning/budget/budgetBreakdown/0/sourceParty/name,planning/budget/budgetBreakdown/0/description
ocds-lcuori-yRl6pL-ST 008 SSIS BID 3371 2019-2,ocds-lcuori-yRl6pL-ST 008 SSIS BID 3371 2019-2/5,yRl6pL-ST 008 SSIS BID 3371 2019-2,3-FMLQALQ,FMLQALQ,BID,Prestamo
ocds-lcuori-MLQmwL-CM-150-2019-1,ocds-lcuori-MLQmwL-CM-150-2019-1/5,MLQmwL-CM-150-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-PLeQ0L-CON-MEP-040-19-1,ocds-lcuori-PLeQ0L-CON-MEP-040-19-1/7,PLeQ0L-CON-MEP-040-19-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-NLPAVG-2019-169-FN-INAM-1,ocds-lcuori-NLPAVG-2019-169-FN-INAM-1/5,NLPAVG-2019-169-FN-INAM-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-mrYQZr-CM-207-SDN-SGRMSG-2019-1,ocds-lcuori-mrYQZr-CM-207-SDN-SGRMSG-2019-1/5,mrYQZr-CM-207-SDN-SGRMSG-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-NrdVGA-CM-302-SEDUC-2019-1,ocds-lcuori-NrdVGA-CM-302-SEDUC-2019-1/6,NrdVGA-CM-302-SEDUC-2019-1,1-FgLkyRb,FgLkyRb,Hispano-Hondureño,Recursos Nacionales
ocds-lcuori-0rwYG8-SOLPED-50004958-1,ocds-lcuori-0rwYG8-SOLPED-50004958-1/6,0rwYG8-SOLPED-50004958-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-XRbOkr-CS-CSJ-2019-0669-1,ocds-lcuori-XRbOkr-CS-CSJ-2019-0669-1/5,XRbOkr-CS-CSJ-2019-0669-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-DRW55L-25-CM-SETUR-2019-1,ocds-lcuori-DRW55L-25-CM-SETUR-2019-1/6,DRW55L-25-CM-SETUR-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-gLkw4L-CM-543-CBD-2019-1,ocds-lcuori-gLkw4L-CM-543-CBD-2019-1/4,gLkw4L-CM-543-CBD-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-WRz0xL-CM-SAR-170-2019-1,ocds-lcuori-WRz0xL-CM-SAR-170-2019-1/5,WRz0xL-CM-SAR-170-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
ocds-lcuori-gGyzvR-CBH-CBO-030-2019-1,ocds-lcuori-gGyzvR-CBH-CBO-030-2019-1/5,gGyzvR-CBH-CBO-030-2019-1,1-FlRo2G5,FlRo2G5,Entidad,Recursos Nacionales
