ocid,id,tender/id,tender/participationFees/0/id,tender/participationFees/0/value/amount,tender/participationFees/0/type
ocds-lcuori-MrMPYR-LPN-CNBS-01-2016-2,ocds-lcuori-MrMPYR-LPN-CNBS-01-2016-2/3,MrMPYR-LPN-CNBS-01-2016-2,MrMPYR-LPN-CNBS-01-2016-2,500.0,document
ocds-lcuori-2LmqDL-LPrNO-13-AMDC-25-2016-2,ocds-lcuori-2LmqDL-LPrNO-13-AMDC-25-2016-2/3,2LmqDL-LPrNO-13-AMDC-25-2016-2,2LmqDL-LPrNO-13-AMDC-25-2016-2,200.0,document
ocds-lcuori-KLg9wR-LPN-011-2015-DA-2,ocds-lcuori-KLg9wR-LPN-011-2015-DA-2/3,KLg9wR-LPN-011-2015-DA-2,KLg9wR-LPN-011-2015-DA-2,500.0,document
ocds-lcuori-kG1ger-licitacion privada 01-2015-2,ocds-lcuori-kG1ger-licitacion privada 01-2015-2/3,kG1ger-licitacion privada 01-2015-2,kG1ger-licitacion privada 01-2015-2,500.0,document
ocds-lcuori-PGJALo-LPN No.100-017-2015-2,ocds-lcuori-PGJALo-LPN No.100-017-2015-2/3,PGJALo-LPN No.100-017-2015-2,PGJALo-LPN No.100-017-2015-2,1000.0,document
ocds-lcuori-4LOxWG-02-2016-2,ocds-lcuori-4LOxWG-02-2016-2/3,4LOxWG-02-2016-2,4LOxWG-02-2016-2,220800.0,document
ocds-lcuori-2LmqDL-LPrNO-01-AMDC-03-2016-2,ocds-lcuori-2LmqDL-LPrNO-01-AMDC-03-2016-2/3,2LmqDL-LPrNO-01-AMDC-03-2016-2,2LmqDL-LPrNO-01-AMDC-03-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-02-AMDC-04-2016-2,ocds-lcuori-2LmqDL-LPrNO-02-AMDC-04-2016-2/3,2LmqDL-LPrNO-02-AMDC-04-2016-2,2LmqDL-LPrNO-02-AMDC-04-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-04-AMDC-06-2016-2,ocds-lcuori-2LmqDL-LPrNO-04-AMDC-06-2016-2/3,2LmqDL-LPrNO-04-AMDC-06-2016-2,2LmqDL-LPrNO-04-AMDC-06-2016-2,200.0,document
ocds-lcuori-2LmqDL-LPrNO-03-AMDC-05-2016-2,ocds-lcuori-2LmqDL-LPrNO-03-AMDC-05-2016-2/3,2LmqDL-LPrNO-03-AMDC-05-2016-2,2LmqDL-LPrNO-03-AMDC-05-2016-2,200.0,document
